medallion rate_code pickup_datetime trip_distance
0BD7C8F5BA12B88E0B67BED28BEA73D8 1 2013-01-06T00:18:35.000+0000 1.5
20D9ECB2CA0767CF7A01564DF2844A3E 1 2013-01-07T15:27:48.000+0000 1.7
2D4B95E2FA7B2E85118EC5CA4570FA58 1 2013-01-07T15:33:28.000+0000 2.5
237F49C3ECC11F5024B254268F054384 1 2013-01-07T07:35:47.000+0000 2.3
7D99C30FCE69B1A9DD27E2AEAC9BFA0C 1 2013-01-07T17:18:16.000+0000 0.7
B6FC8357E0D53B0F1FA897D536A20F5C 1 2013-01-07T18:05:36.000+0000 3.8
E6FBF80668FE0611AEA44FD9574A7E32 1 2013-01-07T08:17:06.000+0000 1.5
312E0CB058D7FC1A6494EDB66D360CD2 1 2013-01-05T11:54:49.000+0000 0.8
24B56A4A0AC119529DBA559181C14FE4 1 2013-01-05T18:59:29.000+0000 2.4
764CA5AE502C0FEC9BB69DBCB6BB4ECC 1 2013-01-05T20:51:53.000+0000 3.3
4A4DA06C65CFA356CD538AF4B899430E 1 2013-01-02T08:12:21.000+0000 2.5
9BB803DFE81D89F77C37D4C05BB1ABA1 1 2013-01-06T10:56:31.000+0000 1.2
0B57B9633A2FECD3D3B1944AFC7471CF 1 2013-01-07T14:46:55.000+0000 1.1
FAE1370A694D0621FAE1E62FAFD64080 1 2013-01-07T10:15:19.000+0000 1
7D99C30FCE69B1A9DD27E2AEAC9BFA0C 1 2013-01-08T00:02:36.000+0000 0.7
1836E1591EE79F810104064B945747AB 1 2013-01-08T01:15:53.000+0000 1.9
0C5296F3C8B16E702F8F2E06F5106552 1 2013-01-07T20:46:10.000+0000 12.3
FA3DD236E7627E99646337C5218EA281 1 2013-01-08T13:16:48.000+0000 2.2
DDB3F3E0172B1FBF0C9E39CA773CC6E3 1 2013-01-07T22:19:19.000+0000 11.4
4C005EEBAA7BF26B84B21586332488A2 1 2013-01-07T21:58:43.000+0000 2
A5A69FAD94C3DC7854F9DDEA994B6380 1 2013-01-10T10:42:05.000+0000 0.9
24929E5F008DBC4C0E551B957F619910 1 2013-01-08T13:51:53.000+0000 0.7
21EF33AA5B34F791B9627087A59C2B13 1 2013-01-08T10:54:06.000+0000 0.5
D5367E940A20B9D2550BF7CF7AE01681 1 2013-01-08T10:08:49.000+0000 1.6
7A9728FFD700148BF60616DA97FFC3C3 1 2013-01-08T10:59:25.000+0000 0.6
32D306FD3A4D7CEDCFD8D644294DD5B7 1 2013-01-08T10:17:06.000+0000 3.6
C6CE309A20A523E64FDCDECF150A2EC1 1 2013-01-10T07:07:59.000+0000 3.8
A5A69FAD94C3DC7854F9DDEA994B6380 1 2013-01-10T13:45:16.000+0000 1.8
CD847FE5884F10A28217E9FBA11B275B 1 2013-01-08T11:20:30.000+0000 2
B4B73C7B5D426BF5D77586628774409D 1 2013-01-07T20:44:18.000+0000 0.4
927778B147439831E9A9A478457D25E1 1 2013-01-07T09:54:33.000+0000 1.7
09C6A58617D39C6AF257965FE1EADADD 1 2013-01-07T07:00:28.000+0000 0.8
251012565308E6E0E67550CFBBD253AB 1 2013-01-05T19:52:03.000+0000 3.5
6C8288A327BA30EC477E601902DEE83A 1 2013-01-10T09:36:18.000+0000 0.4
50C1AEB304BCE14FCE2D6339B675393C 1 2013-01-10T15:08:42.000+0000 1.5
590D90160BD7C2673D47DBF107B10B3E 1 2013-01-07T22:21:59.000+0000 4.5
78FFD9CD0CDA541F335EF8B38FB494D6 1 2013-01-10T14:30:37.000+0000 2.2
A5A69FAD94C3DC7854F9DDEA994B6380 1 2013-01-10T11:02:44.000+0000 1.5
1944EB168702ED8E6B9FD94E988D0197 1 2013-01-08T11:12:48.000+0000 1.7
F6F7D02179BE915B23EF2DB57836442D 1 2013-01-13T04:36:00.000+0000 3.12
A5D125F5550BE7822FC6EE156E37733A 1 2013-01-13T04:37:00.000+0000 2.91
A56F3CF07F1085B21C365C8D3CED7528 1 2013-01-13T04:32:00.000+0000 3.51
834DBD712775DC97F361886D81DD2D67 1 2013-01-13T04:30:00.000+0000 1.56
2F916CFD5E51E9A620F3D4F9D65D2A7B 1 2013-01-13T04:34:00.000+0000 2.19
3445DDD1C9D7E53CE70ABA3EA52A71B7 1 2013-01-13T04:36:00.000+0000 0.47
27326B9D714EA6D0EFAA5AF77BFFFFFC 1 2013-01-13T04:27:00.000+0000 4.72
4E9B67DAEEF658D1B17E3B00A8A2EA71 1 2013-01-13T04:24:00.000+0000 11.17
BDC69EC6520DC5DC23EFF840507721E6 1 2013-01-13T04:28:00.000+0000 10.3
C01368C76C8DEFA6C678CF0D54AE87F0 1 2013-01-13T04:04:00.000+0000 13.82
A6ECECBAC944333366E2F759845B1639 1 2013-01-13T04:36:00.000+0000 1.6
E6735846B5CECD023E387DBF70DF3E2D 2 2013-01-13T04:30:00.000+0000 4.41
E520117674DF8949E37A904005EC41AE 2 2013-01-13T04:34:00.000+0000 2.77
5C9E006BB8CCE89ACC23D40236AD5D8B 2 2013-01-13T04:33:00.000+0000 7.03
F9FC646C4015E241714E7DD2D9A3342D 2 2013-01-13T04:41:00.000+0000 2.11
84C5F6C940C24C55D8D7C75F3F75F14F 2 2013-01-13T04:34:00.000+0000 1.52
5E6E7449087DF76AD2B6B630018A0804 2 2013-01-13T04:38:00.000+0000 1.47
7AD442D7CFA8B1D9FB63C37B0BD0C45C 2 2013-01-13T04:33:00.000+0000 3.69
7236332B089BD36523EDD29345CA6574 2 2013-01-13T04:41:00.000+0000 0.75
582CAF46446FA03320E5178E7BEC1E86 2 2013-01-13T04:39:00.000+0000 0.87
22A55F8B1F56EDA1FEA4F567293A7BDF 2 2013-01-13T04:29:00.000+0000 5.22
75C7F961C2AB3EFE9F232A2E4555CDF6 1 2013-01-13T04:35:00.000+0000 1.79
23E5F1FDC96168E865BF7B4427C0163B 1 2013-01-13T04:22:00.000+0000 7.94
6AF797A6A38F0E9C7BBC5CA381FCA41A 1 2013-01-13T04:14:00.000+0000 7.19
8F26F4F3008E69F65A0E2165AF9E48E3 1 2013-01-13T04:43:00.000+0000 2.28
EDC498F8AB44E4697ECB239CF11E001F 1 2013-01-13T04:29:00.000+0000 8.36
7605CEF44F3D72835498D97AA47CCF11 1 2013-01-13T04:38:00.000+0000 3.54
D01B73345CD09E6B5B8B5076436C0482 1 2013-01-13T04:20:00.000+0000 11.37
A18CC3E9191D21F604DFC2423916E6A2 1 2013-01-13T11:00:00.000+0000 3.49
B16DF0B4526AA90C82ACB7AFFB70FE37 1 2013-01-13T10:51:00.000+0000 9.99
92478395889291D98F40172218EF0E06 1 2013-01-13T11:12:00.000+0000 0.43
3A1C120525EFE99779F39B4866001C49 1 2013-01-13T11:09:00.000+0000 0.93
984981D1C37073D5B6BF9D11D2CDDB21 1 2013-01-13T11:09:00.000+0000 1.65
E53411C1726D6451C3F1D911945E2555 1 2013-01-13T11:12:00.000+0000 0.6
D4677BB37EDBA5626C026695A5384F8E 1 2013-01-13T11:05:00.000+0000 0.88
B0060396EFA14B6ADEC80B67CA57D10F 1 2013-01-13T11:02:00.000+0000 1.63
5562E98BA4BD4057E5626F1C64AF72B3 1 2013-01-13T11:00:00.000+0000 1.34
15D1318EA014FD9A96B258E08E82F455 1 2013-01-13T11:05:00.000+0000 2.23
E47A6E6C81F18BCCC44A72AF9A60E9A6 1 2013-01-13T04:31:00.000+0000 1.54
891EDD34EF8DAD06FF84C2178D7FC346 1 2013-01-13T04:34:00.000+0000 0.75
F5B5E83EF52481B2BAD92B1CD8FA9EC7 1 2013-01-13T11:06:00.000+0000 0.61
C3CB2045128C7DE336B24BE64FCC9B05 1 2013-01-13T07:52:00.000+0000 12.61
6751AB7E34461E5006F078C38B827942 1 2013-01-13T11:02:00.000+0000 1.94
479B5CA7ABDC8CADA9F88A31B40880A1 1 2013-01-13T11:05:00.000+0000 1.23
1F3A1D54BB26E5D53A671C14731AF704 1 2013-01-13T04:45:00.000+0000 1.07
67729E4AC4D46AC951D4EFEF0048CA37 1 2013-01-13T04:40:00.000+0000 0.76
ABBFB2FEC4DE7D40BB11E8445ACA33DD 1 2013-01-13T04:50:00.000+0000 1.07
37EB3A57CD79BC7FD33F4D21E395A275 1 2013-01-13T04:51:00.000+0000 1.24
AAAE3A8B4AC113801A5621390158E8D3 1 2013-01-13T04:25:00.000+0000 4.05
DB76AD7EC5837383741B8D79F3B89574 1 2013-01-13T04:53:00.000+0000 0.79
DC0EC18FBD1447F4C672EF4B72367232 1 2013-01-13T11:02:00.000+0000 1.79
76E2426150473A0328A71B36A83B1568 1 2013-01-13T11:02:00.000+0000 2.9
F57EAA4370AE5122829BC4D743F2EC58 1 2013-01-13T11:03:00.000+0000 1.58
74ABD808193D2A4FCE23A937A45491B5 1 2013-01-13T11:05:00.000+0000 2.09
F1C63842BC47D1C30A1317560F24FD38 1 2013-01-13T11:07:00.000+0000 1.76
3EC8BDDA70B148A45686D2BC098108AC 1 2013-01-13T11:10:00.000+0000 0.96
A11B604A46C955FDA3C71C7DAB6235B4 1 2013-01-13T11:09:00.000+0000 0.95
A42487000E5D56414E028EE0252D45CE 1 2013-01-13T11:04:00.000+0000 1.78
AD150CAA4C22F605BADC49060EC262CF 1 2013-01-13T11:12:00.000+0000 0.65
9BA0A7F9E143615D6168F9A8DD42EACF 1 2013-01-13T04:23:00.000+0000 3.35
2637FB352BF7E5B99BEBD26E53C7B31B 1 2013-01-13T04:34:00.000+0000 1.98
